setup_day,setup_available_time,release_bar_time,available_time,side,setup_high,setup_low,setup_range
2026-01-11,2026-01-12,2026-01-12 00:31:00,2026-01-12 00:32:00,long,3130.0,3077.23,0.017148539433191612
2026-01-18,2026-01-19,2026-01-19 02:28:00,2026-01-19 02:29:00,long,3346.99,3293.1,0.01636451975342368
2026-01-25,2026-01-26,2026-01-26 00:02:00,2026-01-26 00:03:00,short,2966.88,2918.68,0.01651431469020248
2026-02-12,2026-02-13,2026-02-13 00:28:00,2026-02-13 00:29:00,short,2001.28,1908.01,0.04888339159648014
2026-02-14,2026-02-15,2026-02-15 20:54:00,2026-02-15 20:55:00,short,2107.55,2030.15,0.038125261680171496
2026-02-17,2026-02-18,2026-02-18 03:14:00,2026-02-18 03:15:00,long,2008.8,1940.01,0.0354585801104117
2026-02-22,2026-02-23,2026-02-23 01:32:00,2026-02-23 01:33:00,short,1994.7,1942.29,0.026983612127952084
2026-03-07,2026-03-08,2026-03-08 03:50:00,2026-03-08 03:51:00,short,1995.0,1954.0,0.020982599795291712
2026-03-15,2026-03-16,2026-03-16 04:30:00,2026-03-16 04:31:00,long,2123.13,2066.86,0.0272248725119264
2026-03-21,2026-03-22,2026-03-22 07:51:00,2026-03-22 07:52:00,short,2168.0,2116.16,0.024497202479963676
2026-03-29,2026-03-30,2026-03-30 06:41:00,2026-03-30 06:42:00,short,2029.38,1982.06,0.02387415113568725
2026-04-04,2026-04-05,2026-04-05 03:08:00,2026-04-05 03:09:00,long,2061.71,2042.68,0.00931619245305182
2026-04-11,2026-04-12,2026-04-12 00:40:00,2026-04-12 00:41:00,long,2256.93,2220.12,0.01658018485487278
2026-04-21,2026-04-22,2026-04-22 01:19:00,2026-04-22 01:20:00,short,2345.42,2288.22,0.024997596384963128
2026-04-25,2026-04-26,2026-04-26 13:13:00,2026-04-26 13:14:00,long,2328.0,2301.0,0.011734028683181297
2026-05-02,2026-05-03,2026-05-03 05:33:00,2026-05-03 05:34:00,long,2313.34,2277.41,0.015776693700300104
2026-05-09,2026-05-10,2026-05-10 01:05:00,2026-05-10 01:06:00,long,2324.54,2285.14,0.017241832010292724
2026-05-10,2026-05-11,2026-05-11 01:05:00,2026-05-11 01:06:00,long,2351.17,2313.87,0.016120179612510777
2026-05-17,2026-05-18,2026-05-18 07:40:00,2026-05-18 07:41:00,short,2197.77,2167.02,0.014189993631807729
2026-05-31,2026-06-01,2026-06-01 00:24:00,2026-06-01 00:25:00,short,2037.4,2004.5,0.01641307059116981
2026-06-09,2026-06-10,2026-06-10 00:05:00,2026-06-10 00:06:00,short,1713.69,1631.88,0.050132362673726005
2026-06-10,2026-06-11,2026-06-11 06:02:00,2026-06-11 06:03:00,short,1667.6,1605.0,0.03900311526479738
2026-06-13,2026-06-14,2026-06-14 05:41:00,2026-06-14 05:42:00,long,1686.74,1656.47,0.018273799102911603
2026-06-21,2026-06-22,2026-06-22 05:09:00,2026-06-22 05:10:00,short,1745.64,1715.18,0.017759069018995044
2026-07-09,2026-07-10,2026-07-10 09:48:00,2026-07-10 09:49:00,long,1761.84,1720.15,0.02423625846583133
2026-07-18,2026-07-19,2026-07-19 02:24:00,2026-07-19 02:25:00,long,1855.65,1825.5,0.016516023007395297
2026-07-25,2026-07-26,2026-07-26 01:34:00,2026-07-26 01:35:00,long,1871.98,1850.46,0.011629540762837287
2026-08-01,2026-08-02,2026-08-02 02:20:00,2026-08-02 02:21:00,short,1877.49,1857.22,0.010914162027115815
2026-08-08,2026-08-09,2026-08-09 23:10:00,2026-08-09 23:11:00,long,1925.71,1902.72,0.012082702657248534
2026-08-09,2026-08-10,2026-08-10 06:14:00,2026-08-10 06:15:00,long,1926.74,1912.0,0.007709205020920429
